what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1299941454943
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1299941455530
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1299941456531
started,bundle,org.eclipse.draw2d,3.6.2.v20110128-0100,"org.eclipse.draw2d",1299941457212
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299941461830
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1299941461874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299941495880
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1299941516687
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1299941516800
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299941526449
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1299941526474
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299941548230
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1299941560870
activated,editor,com.android.ide.eclipse.adt,10.0.0.v201102162101-104271,"com.android.ide.eclipse.editors.layout.LayoutEditor",1299941561177
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1299941576959
opened,editor,com.android.ide.eclipse.adt,10.0.0.v201102162101-104271,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1299941578496
activated,editor,com.android.ide.eclipse.adt,10.0.0.v201102162101-104271,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1299941578573
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299941587858
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299941589744
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299941595373
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299941595603
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299941599345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299941599628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299942039705
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299942039842
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299942039945
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299942048228
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299942049369
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299942056044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299942059754
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299942069230
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1299942095152
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299942108339
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299942113632
